timestamp,LastUpdate,LabTests,LabTestsDelta,Positives,PositivesDelta,AgTests,AgTestsDelta,AgPositives,AgPositivesDelta,Hospitalized,HospitalizedDelta,HospitalizedCovid19,HospitalizedCovid19Intensive,HospitalizedCovid19Ventilation,Deceased,DeceasedDelta,Cured,CuredDelta,median,vaccinated,vaccinatedDose1,vaccinatedDose2
2020-12-08-20-51,8.12.2020,1148771,10245,119232,1949,726873,25589,24280,1726,2048,69,1796,133,137,1046,28,87433,2583,1982,,,
2020-12-09-20-32,9.12.2020,1162048,13277,121796,2564,771710,44837,27357,3077,2083,35,1862,139,131,1084,38,89769,2336,1982,,,
2020-12-10-23-45,10.12.2020,1177178,15130,124921,3125,803017,31307,29382,2025,2123,40,1900,146,140,1104,20,91455,1686,2070,,,
2020-12-11-20-30,11.12.2020,1188116,10938,127087,2166,845216,42199,32405,3023,2130,7,1932,144,138,1122,18,93533,2078,2070,,,
2020-12-12-20-30,11.12.2020,1188116,10938,127087,2166,845216,42199,32405,3023,2130,7,1932,144,138,1122,18,93533,2078,2070,,,
2020-12-13-20-30,13.12.2020,1216063,9991,132984,2190,900461,15597,35690,928,2147,16,1955,136,139,1175,27,97068,1652,2190,,,
2020-12-14-20-30,14.12.2020,1218962,2899,133489,505,907006,6545,36160,470,2230,83,2037,140,142,1205,30,98585,1517,2190,,,
2020-12-15-20-30,15.12.2020,1229863,10901,135523,2034,942641,35635,38948,2788,2388,158,2093,142,146,1251,46,100303,1718,2190,,,
2020-12-16-20-30,16.12.2020,1246580,16717,139088,3565,999332,56691,43345,4397,2319,-69,2105,160,150,1309,58,101584,1281,2190,,,
2020-12-17-20-30,17.12.2020,1261501,14921,142133,3045,1050280,50948,46799,3454,2355,36,2149,131,147,1378,69,102737,1153,2190,,,
2020-12-18-20-30,18.12.2020,1279523,18022,146124,3991,1097849,47569,50329,3530,2412,57,2197,152,159,1440,62,104560,1823,3044,,,
2020-12-19-20-30,19.12.2020,1295720,16197,149275,3151,1165290,67441,54406,4077,2374,-38,2157,139,165,1510,70,106361,1801,3044,,,
2020-12-20-20-30,20.12.2020,1305541,9821,151336,2061,1195593,30303,56698,2292,2158,-216,2155,159,153,1555,45,107828,1467,3044,,,
2020-12-21-20-30,21.12.2020,1311832,6291,152555,1219,1224180,28587,58202,1504,2451,75,2210,159,160,1618,63,109807,1979,3044,,,
2020-12-22-20-30,22.12.2020,1325121,13289,155218,2663,1304015,79835,65127,6925,2538,87,2310,165,169,1618,0,110565,758,3044,,,
2020-12-23-20-30,23.12.2020,1343265,18144,158905,3687,1380353,76338,70803,5676,2571,33,2328,163,185,1686,68,112627,2062,3044,,,
2020-12-24-20-30,24.12.2020,1357503,14238,161562,2657,1469180,88827,75997,5194,2571,0,2220,173,191,1732,46,114267,1640,2663,,,
2020-12-25-20-30,25.12.2020,1375946,18443,165608,4046,1487163,17983,77092,1095,2428,-18,2182,184,189,1732,0,115663,1396,2663,,,
2020-12-26-20-30,26.12.2020,1380195,4249,166649,1041,1490500,3337,77291,199,2519,91,2255,183,197,1732,0,116948,1285,2657,,,
2020-12-27-20-30,27.12.2020,1383745,3550,167523,874,1495453,4953,77570,279,2595,76,2317,190,206,1773,41,119086,2138,2657,,,
2020-12-28-20-30,28.12.2020,1386285,2540,168092,569,1503029,7576,78789,1219,2729,134,2426,199,209,1879,106,120410,1324,2657,,,
2020-12-29-20-30,29.12.2020,1395615,9330,170187,2095,1561228,58199,84100,5311,2869,140,2546,195,217,1983,104,121760,1350,2095,,,
2020-12-30-20-30,30.12.2020,1407029,11414,173228,3041,1628009,66781,90521,6421,2899,30,2606,197,206,2065,82,124427,2667,2095,,,
2020-12-31-20-30,31.12.2020,1429007,21978,179543,6315,1702679,74670,96475,5954,2945,46,2659,196,220,2138,73,125971,1544,2095,,,
2021-01-01-20-30,1.1.2021,1445486,16479,184508,4965,1766851,64172,101366,4891,2896,-49,2650,198,226,2250,112,127190,1219,2095,,,
2021-01-02-20-30,2.1.2021,1450440,4954,186244,1736,1766851,12766,101734,368,2847,-49,2607,204,235,2250,0,128285,1095,2095,,,
2021-01-03-20-30,3.1.2021,1454728,4288,187463,1219,1787179,7562,102329,595,2905,58,2688,198,238,2317,67,129994,1709,2095,,,
2021-01-04-20-30,4.1.2021,1457839,3111,188099,636,1793779,6600,103056,727,3038,133,2771,205,247,2521,204,130897,903,2095,,,
2021-01-05-20-30,5.1.2021,1470235,12396,191088,2989,1863747,69968,110279,7223,3146,108,2864,207,246,2603,82,132852,1955,2989,,,
2021-01-06-20-30,6.1.2021,1488057,17822,196047,4959,1943849,80102,116880,6601,3079,-67,2847,213,244,2657,54,135760,2908,2989,7201,,
2021-01-07-20-30,7.1.2021,1496314,8257,198184,2137,1966558,22709,118982,2102,3103,24,2883,216,242,2717,60,138383,2623,2137,10751,,
2021-01-08-20-30,8.1.2021,1506971,10657,201164,2980,2019588,53030,122616,3634,3142,39,2921,215,248,2788,71,141490,3107,2137,19727,,
2021-01-09-20-30,9.1.2021,1523339,16368,205236,4072,2093521,73933,122616,3634,3109,-33,2904,224,249,2836,48,144612,3122,2980,19727,,
2021-01-10-20-30,10.1.2021,1536183,12844,208209,2973,2119204,25683,128168,1315,3188,79,2928,232,253,2918,82,147275,2663,2980,19727,,
2021-01-11-20-30,11.1.2021,1540511,4328,209069,860,2171320,52116,130992,2824,3292,104,3033,228,251,3007,89,150239,2964,2980,26251,,
2021-01-12-20-30,12.1.2021,1552630,12119,211479,2410,2243640,72320,134476,3484,3383,91,3108,232,261,3102,95,153755,3516,2973,31785,,
2021-01-13-20-30,13.1.2021,1568070,15440,215055,3576,2327934,84294,138264,3788,3322,-61,3082,238,253,3163,61,157028,3273,2973,39395,,
2021-01-14-20-30,14.1.2021,1580412,12342,217978,2923,2404323,76389,141890,3626,3275,-47,3036,243,246,3260,97,160401,3373,2973,42096,,
2021-01-15-20-30,15.1.2021,1592287,11875,220707,2729,2456426,52103,144485,2595,3273,-2,3049,251,279,3362,102,163323,2922,2923,47704,,
2021-01-16-20-30,16.1.2021,1603679,11392,222752,2045,2508666,52240,146245,1760,3273,0,3055,250,277,3417,55,166555,3232,2729,55100,,
2021-01-17-20-30,17.1.2021,1606529,2850,223325,573,2533325,24659,147222,977,3294,8,3067,241,287,3474,57,168915,2360,2410,57804,,
2021-01-18-20-30,18.1.2021,1612781,6252,224385,1060,2576618,43293,148161,939,3392,98,3164,244,297,3526,52,171092,2177,2410,60079,,
2021-01-19-20-30,19.1.2021,1622598,9817,226294,1909,2669790,93172,152455,4294,3444,52,3219,242,296,3637,111,173761,2669,2045,75292,,
2021-01-20-20-30,20.1.2021,1634722,12124,228778,2484,2755180,85390,155451,2996,3306,-138,3121,250,311,3737,100,176864,3103,2045,75292,,
2021-01-21-20-30,21.1.2021,1647390,12668,231242,2464,2826135,70955,156565,1114,3283,-23,3085,255,319,3801,64,181129,4265,2045,82695,,
2021-01-22-20-30,22.1.2021,1658408,11018,233027,1785,2973227,147276,158710,2145,3285,2,3078,256,322,3894,93,183942,2813,1909,89635,,
2021-01-23-20-30,23.1.2021,1678672,20264,234571,1544,3151404,170565,160823,2097,3306,21,3067,253,328,3965,71,186683,2741,1785,95490,,
2021-01-24-20-30,24.1.2021,1695170,16498,236476,1905,3709160,517877,166409,5017,3354,48,3114,251,321,4068,103,189959,3276,1905,95766,,
2021-01-25-20-30,25.1.2021,1698976,3806,237027,551,4054697,284768,169231,2322,3478,124,3228,263,315,4068,0,193380,3421,1905,96285,,
2021-01-26-20-30,26.1.2021,1709926,10950,238617,1590,4392879,244187,173224,3571,3495,17,3263,261,319,4260,192,197191,3811,1785,102692,,
2021-01-27-20-30,27.1.2021,1723941,14015,241392,2775,4749151,177450,177783,2599,3509,14,3286,256,310,4361,101,202148,4957,1785,108426,,
2021-01-28-20-30,28.1.2021,1733752,9811,243427,2035,4854924,78633,180059,1779,3560,51,3293,263,312,4411,50,205247,3099,1785,115399,,
2021-01-29-20-30,29.1.2021,1745045,11293,246008,2581,4927808,66287,185041,5098,3511,-49,3285,258,308,4495,84,208406,3159,1905,123999,,
2021-01-30-20-30,30.1.2021,1756252,11207,248190,2182,5075629,135371,183823,2311,3551,40,3249,276,305,4565,70,212271,3865,1905,133093,,
2021-01-31-20-30,31.1.2021,1764453,8201,249913,1723,5405943,320611,187799,3672,3556,5,3243,273,307,4642,77,216052,3781,2035,134092,,
2021-02-01-20-30,1.2.2021,1766743,2290,250357,444,5639927,204733,190273,2127,3653,97,3335,270,316,4711,69,218923,2871,1723,134205,,
2021-02-02-20-30,2.2.2021,1776247,9504,252094,1737,5900193,184663,193682,3242,3743,90,3360,274,307,4784,73,222642,3719,1737,142751,,
2021-02-03-20-30,3.2.2021,1788560,12313,254826,2732,6054037,111597,196776,2592,3626,-117,3355,267,287,4889,105,226471,3829,1737,150959,,
2021-02-04-20-30,4.2.2021,1799783,11223,256903,2077,6153316,89413,198342,2879,3596,-30,3412,262,281,4976,87,230456,3985,1737,160860,,
2021-02-05-20-30,5.2.2021,1811065,11282,259533,2630,6270919,93385,201708,2979,3560,-36,3376,268,293,5050,74,234371,3915,1737,168395,,
2021-02-06-20-30,6.2.2021,1824742,13677,261774,2241,6480618,195271,205254,3553,3500,-60,3328,264,299,5135,85,238221,3850,2077,177751,,
2021-02-07-20-30,7.2.2021,1833024,8282,263326,1552,6961885,466365,209546,4106,3551,51,3380,270,297,5199,64,241686,3465,2077,179815,,
2021-02-08-20-30,8.2.2021,1836808,3784,264083,757,7329080,284609,212947,2471,3604,53,3440,274,312,5271,72,245702,4016,2077,179995,,
2021-02-09-20-30,9.2.2021,1846218,9410,265807,1724,7798814,370937,217528,4474,3652,48,3453,281,316,5382,111,248386,2684,2077,191900,,
2021-02-10-20-30,10.2.2021,1860198,13980,268986,3179,8039396,167556,220987,3067,3753,101,3509,284,321,5502,120,251618,3232,2077,,,
2021-02-11-20-30,11.2.2021,1871130,10932,271473,2487,8223729,148022,224401,3145,3719,-34,3447,277,313,5629,127,253518,1900,2241,,,
2021-02-12-20-30,12.2.2021,1881532,10402,273904,2431,8364670,101684,226626,1917,3750,31,3566,275,310,5733,104,255300,1782,2241,,,
2021-02-13-20-30,13.2.2021,1895523,13991,276234,2330,8631440,233710,229385,2924,3782,32,3534,266,320,5812,79,255300,0,2330,,,
2021-02-14-20-30,13.2.2021,1895523,13991,276234,2330,8631440,233710,229385,2924,3782,32,3534,266,320,5812,79,255300,0,2330,,,
2021-02-15-20-30,15.2.2021,1905895,2775,278254,572,9288015,249092,234607,2392,3895,83,3628,269,321,5952,67,255300,0,2330,,,
"2021-02-16-22-00","16.2.2021","1914132","8237","279696","1442","9805401","198311","239514","3100","3872","-23","3683","278","337","6063","111","-","-","2330","","241904","69395"
"2021-02-17-20-30","17.2.2021","1927182","13050","282864","3168","10007442","140661","243918","3881","3835","-37","3632","285","323","6168","105","","","2330","","246423","75739"
"2021-02-18-20-30","18.2.2021","1938030","10848","285419","2555","10150400","105334","245006","2248","3886","51","3605","293","328","6271","103","","","2330","","251253","81589"
"2021-02-19-20-30","19.2.2021","1948313","10283","287752","2333","10313449","113492","248168","2214","3900","14","3626","297","323","6350","79","","","2330","","255972","88478"
"2021-02-20-20-30","20.2.2021","1962613","14300","290457","2705","10597328","244304","251953","3234","3837","-63","3578","290","330","6424","74","","","2333","","262694","95008"
"2021-02-21-20-30","21.2.2021","1970890","8277","292143","1686","11139844","506991","256280","3828","3836","-1","3565","298","337","6505","81","","","2333","","267777","95291"
"2021-02-22-20-30","22.2.2021","1973949","3059","292792","649","11453349","228403","259886","2384","3963","127","3672","299","347","6577","72","","","2333","","272341","95291"
"2021-02-23-20-30","23.2.2021","1983818","9869","294790","1998","11779502","179448","264224","2741","3963","0","3723","317","348","6671","94","","","2333","","280503","101929"
"2021-02-24-20-30","24.2.2021","1998978","15160","298337","3547","11985637","132614","267060","2323","3936","-81","3682","315","353","6775","104","","","2333","","286408","108382"
"2021-02-25-20-30","25.2.2021","2009936","10958","300775","2438","12142216","113306","270116","2464","3873","-63","3654","300","352","6859","84","","","2333","","286408","108382"
"2021-02-26-20-30","26.2.2021","2022001","12065","303420","2645","12272404","118387","273158","2409","3915","42","3733","320","357","6966","107","","","2438","","297496","122079"
"2021-02-27-20-30","27.2.2021","2037732","15731","306268","2848","12650523","268535","277245","2795","3849","-66","3666","316","353","7075","109","","","2438","","301488","132510"
"2021-02-28-20-30","28.2.2021","2046571","8839","308083","1815","13242068","543914","283995","6306","3905","56","3703","318","359","7189","","","","2438","","303242","132856"
"2021-03-01-20-30","1.3.2021","2050136","3565","308925","842","13613695","266122","284480","2128","4008","103","3805","316","362","7270","81","","","2438","","305832","133389"
"2021-03-02-20-30","2.3.2021","2060990","10854","311002","2077","13905116","186510","287329","2552","4042","34","3842","318","376","7388","118","","","2438","","315557","142551"
