Čas publikovania,Veková skupina,Vakcína,Dávka,Počet
2021-05-19 16:58:38,35-39,mRNA (Pfizer alebo Moderna),2,23725
2021-05-20 16:57:47,35-39,mRNA (Pfizer alebo Moderna),2,25655
2021-05-21 19:05:03,35-39,mRNA (Pfizer alebo Moderna),2,27656
2021-05-22 19:05:03,35-39,mRNA (Pfizer alebo Moderna),2,31368
2021-05-17 16:12:10,40-44,mRNA (Pfizer alebo Moderna),2,22712
2021-05-18 16:04:22,40-44,mRNA (Pfizer alebo Moderna),2,24276
2021-05-19 16:58:38,40-44,mRNA (Pfizer alebo Moderna),2,26514
2021-05-20 16:57:47,40-44,mRNA (Pfizer alebo Moderna),2,33027
2021-05-21 19:05:03,40-44,mRNA (Pfizer alebo Moderna),2,38569
2021-05-22 19:05:03,40-44,mRNA (Pfizer alebo Moderna),2,43269
2021-05-17 16:12:10,45-49,mRNA (Pfizer alebo Moderna),2,30700
2021-05-18 16:04:22,45-49,mRNA (Pfizer alebo Moderna),2,31798
2021-05-19 16:58:38,45-49,mRNA (Pfizer alebo Moderna),2,34671
2021-05-20 16:57:47,45-49,mRNA (Pfizer alebo Moderna),2,37672
2021-05-21 19:05:03,45-49,mRNA (Pfizer alebo Moderna),2,40447
2021-05-22 19:05:03,45-49,mRNA (Pfizer alebo Moderna),2,41724
2021-05-17 16:12:10,50-54,mRNA (Pfizer alebo Moderna),2,31834
2021-05-18 16:04:22,50-54,mRNA (Pfizer alebo Moderna),2,32696
2021-05-19 16:58:38,50-54,mRNA (Pfizer alebo Moderna),2,34321
2021-05-20 16:57:47,50-54,mRNA (Pfizer alebo Moderna),2,36493
2021-05-21 19:05:03,50-54,mRNA (Pfizer alebo Moderna),2,38248
2021-05-22 19:05:03,50-54,mRNA (Pfizer alebo Moderna),2,38848
2021-05-17 16:12:10,55-59,mRNA (Pfizer alebo Moderna),2,35124
2021-05-18 16:04:22,55-59,mRNA (Pfizer alebo Moderna),2,36011
2021-05-19 16:58:38,55-59,mRNA (Pfizer alebo Moderna),2,37660
2021-05-20 16:57:47,55-59,mRNA (Pfizer alebo Moderna),2,40064
2021-05-21 19:05:03,55-59,mRNA (Pfizer alebo Moderna),2,41757
2021-05-22 19:05:03,55-59,mRNA (Pfizer alebo Moderna),2,42557
2021-05-17 16:12:10,60-64,mRNA (Pfizer alebo Moderna),2,55149
2021-05-18 16:04:22,60-64,mRNA (Pfizer alebo Moderna),2,54229
2021-05-19 16:58:38,60-64,mRNA (Pfizer alebo Moderna),2,52103
2021-05-20 16:57:47,60-64,mRNA (Pfizer alebo Moderna),2,54086
2021-05-21 19:05:03,60-64,mRNA (Pfizer alebo Moderna),2,55459
2021-05-22 19:05:03,60-64,mRNA (Pfizer alebo Moderna),2,55811
2021-05-17 16:12:10,65-69,mRNA (Pfizer alebo Moderna),2,41400
2021-05-18 16:04:22,65-69,mRNA (Pfizer alebo Moderna),2,38343
2021-05-19 16:58:38,65-69,mRNA (Pfizer alebo Moderna),2,35575
2021-05-20 16:57:47,65-69,mRNA (Pfizer alebo Moderna),2,35978
2021-05-21 19:05:03,65-69,mRNA (Pfizer alebo Moderna),2,36713
2021-05-22 19:05:03,65-69,mRNA (Pfizer alebo Moderna),2,37071
2021-05-17 16:12:10,70-74,mRNA (Pfizer alebo Moderna),2,14735
2021-05-18 16:04:22,70-74,mRNA (Pfizer alebo Moderna),2,12631
2021-05-19 16:58:38,70-74,mRNA (Pfizer alebo Moderna),2,11943
2021-05-20 16:57:47,70-74,mRNA (Pfizer alebo Moderna),2,12419
2021-05-21 19:05:03,70-74,mRNA (Pfizer alebo Moderna),2,12841
2021-05-22 19:05:03,70-74,mRNA (Pfizer alebo Moderna),2,13040
2021-05-17 16:12:10,75-79,mRNA (Pfizer alebo Moderna),2,6908
2021-05-18 16:04:22,75-79,mRNA (Pfizer alebo Moderna),2,5792
2021-05-19 16:58:38,75-79,mRNA (Pfizer alebo Moderna),2,5552
2021-05-20 16:57:47,75-79,mRNA (Pfizer alebo Moderna),2,5831
2021-05-21 19:05:03,75-79,mRNA (Pfizer alebo Moderna),2,6065
2021-05-22 19:05:03,75-79,mRNA (Pfizer alebo Moderna),2,6201
2021-05-17 16:12:10,80-84,mRNA (Pfizer alebo Moderna),2,3882
2021-05-18 16:04:22,80-84,mRNA (Pfizer alebo Moderna),2,3301
2021-05-19 16:58:38,80-84,mRNA (Pfizer alebo Moderna),2,3164
2021-05-20 16:57:47,80-84,mRNA (Pfizer alebo Moderna),2,3297
2021-05-21 19:05:03,80-84,mRNA (Pfizer alebo Moderna),2,3447
2021-05-22 19:05:03,80-84,mRNA (Pfizer alebo Moderna),2,3524
2021-05-17 16:12:10,85-n,mRNA (Pfizer alebo Moderna),2,2059
2021-05-18 16:04:22,85-n,mRNA (Pfizer alebo Moderna),2,1792
2021-05-19 16:58:38,85-n,mRNA (Pfizer alebo Moderna),2,1756
2021-05-20 16:57:47,85-n,mRNA (Pfizer alebo Moderna),2,1840
2021-05-21 19:05:03,85-n,mRNA (Pfizer alebo Moderna),2,1923
