Dávka,Veková skupina,Čas publikovania,Vážený počet registrácii
2,55-59,2021-05-22 19:05:03,99011.96944721804
2,60-64,2021-05-22 19:05:03,75485.03806046862
2,65-69,2021-05-22 19:05:03,58587.0570485066
2,70-74,2021-05-22 19:05:03,13403.044841269964
2,75-79,2021-05-22 19:05:03,6202.516666666653
2,80-84,2021-05-22 19:05:03,3527.3333333333508
2,85-n,2021-05-22 19:05:03,1994.333333333336
1,00-17,2021-05-23 19:05:02,13594.000000000005
1,18-19,2021-05-23 19:05:02,12109.666666666735
1,20-24,2021-05-23 19:05:02,30855.769047618924
1,25-29,2021-05-23 19:05:02,33552.69047619043
1,30-34,2021-05-23 19:05:02,31479.6833333333
1,35-39,2021-05-23 19:05:02,13319.958333333356
1,40-44,2021-05-23 19:05:02,8919.500000000004
1,45-49,2021-05-23 19:05:02,3089.5000000000036
1,50-54,2021-05-23 19:05:02,1420.9999999999982
1,55-59,2021-05-23 19:05:02,1211.5000000000005
1,60-64,2021-05-23 19:05:02,820.4666666666667
1,65-69,2021-05-23 19:05:02,321.9999999999999
1,70-74,2021-05-23 19:05:02,150.29999999999995
1,75-79,2021-05-23 19:05:02,70.99999999999996
1,80-84,2021-05-23 19:05:02,36.0
1,85-n,2021-05-23 19:05:02,15.999999999999998
2,00-17,2021-05-23 19:05:02,2219.4999999999905
2,18-19,2021-05-23 19:05:02,6188.279761904826
2,20-24,2021-05-23 19:05:02,17290.20833333339
2,25-29,2021-05-23 19:05:02,21410.19270451828
2,30-34,2021-05-23 19:05:02,30622.478538129075
2,35-39,2021-05-23 19:05:02,51009.13692810428
2,40-44,2021-05-23 19:05:02,79528.12263548645
2,45-49,2021-05-23 19:05:02,91623.18188467844
2,50-54,2021-05-23 19:05:02,84719.12824675193
2,55-59,2021-05-23 19:05:02,100230.969447218
2,60-64,2021-05-23 19:05:02,75743.60948903956
2,65-69,2021-05-23 19:05:02,58624.47371517319
2,70-74,2021-05-23 19:05:02,13685.169841269917
2,75-79,2021-05-23 19:05:02,6356.516666666666
2,80-84,2021-05-23 19:05:02,3637.333333333346
2,85-n,2021-05-23 19:05:02,2055.333333333335
1,00-17,2021-05-24 19:05:03,13771.000000000027
1,18-19,2021-05-24 19:05:03,12249.666666666742
1,20-24,2021-05-24 19:05:03,31292.102380952394
1,25-29,2021-05-24 19:05:03,34284.69047619056
1,30-34,2021-05-24 19:05:03,32688.683333333447
1,35-39,2021-05-24 19:05:03,14815.958333333352
1,40-44,2021-05-24 19:05:03,10327.999999999998
1,45-49,2021-05-24 19:05:03,4158.500000000003
